10	19	92
106	3	78
2	106	81
13	20	97
32	65	98
16	12	35
23	62	89
48	25	107
92	108	53
46	67	93
16	72	25
20	97	41
81	74	38
101	47	88
12	6	40
61	48	71
80	77	60
30	66	35
13	97	41
56	80	51
108	36	24
7	62	89
85	22	108
12	107	8
67	105	54
94	65	60
31	46	101
24	108	53
66	19	33
28	73	63
5	38	34
30	66	4
57	12	16
66	19	91
108	22	53
45	42	98
14	4	50
97	48	41
109	57	16
97	13	69
43	37	106
42	37	28
8	50	20
37	106	99
14	28	93
101	81	14
39	17	8
89	62	23
13	74	20
53	85	10
81	2	72
108	109	36
26	67	99
21	85	84
40	109	108
68	64	48
65	54	99
83	77	87
17	71	70
49	89	7
91	35	73
74	68	58
59	94	27
30	19	35
26	105	54
58	64	74
41	97	39
61	71	17
61	107	17
12	104	107
88	63	91
64	50	68
35	19	30
50	69	58
95	87	51
2	106	104
70	92	6
18	21	62
14	52	47
16	40	91
57	60	7
22	24	56
24	22	56
96	22	84
95	77	57
73	63	96
49	62	7
78	81	33
63	35	73
10	109	95
105	26	84
27	65	21
87	77	92
86	22	88
41	39	13
37	65	5
54	59	45
29	92	75
47	38	15
12	8	6
72	107	75
26	93	67
2	3	78
48	61	71
36	22	53
40	53	57
